"number" "dsum" "count" "missing" "quant_error" "fname"
0 1494.31 832407 2569575 1.38589e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Shorebirds\LBCU_2018_50.tif"
1 8137.62 832407 2569575 3.36261e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Shorebirds\MAGO_2018_50.tif"
2 15574.6 832407 2569575 1.61945e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Shorebirds\WILL_2018_50.tif"
