"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00656 850111 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00666 850026 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00675 849941 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00685 849856 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00695 849771 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00705 849686 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00715 849601 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00725 849516 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00735 849431 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00745 849346 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00755 849261 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00765 849176 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00775 849091 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00785 849006 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00795 848921 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00805 848836 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00815 848751 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00824 848666 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00834 848581 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00844 848496 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00854 848411 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
