"Metric","TL_0.7_noPintailwgt","TL_0.7_Pintailwgt","TL_0.78_7spDSSV3","TL_0.78_noPintailwgt","TL_0.78_Pintailwgt","currentTL"
"Area (km^2)","180019.081523905","187577.682337439","134316.086240354","113318.787349785","122549.514525962","166954.390213345"
"Proportion of population","0.525109848789942","0.509089010330079","0.442223172237251","0.36817421071337","0.360010212565742","0.455047291547881"
"Mean density (pairs/km^2)","17.4744975200157","16.2596106722854","19.7236339687635","19.4680613680127","17.598899960455","16.3272826236682"
