"","lb","mb","sb","wf"
"lb",0.999999999999982,0.652562253358938,0.736658032799793,0.687175490610988
"mb",0.652562253358938,0.999999999999983,0.619740225755308,0.700326202882454
"sb",0.736658032799793,0.619740225755308,1.00000000000001,0.755951801428662
"wf",0.687175490610988,0.700326202882454,0.755951801428662,0.999999999999982
