"number" "dsum" "count" "missing" "quant_error" "fname"
0 9.21972e+06 4486603 3796997 3.01636e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\BWTE_snapped.tif"
1 842949. 4486603 3796997 2.00211e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\CANV_snapped.tif"
2 4.59783e+06 4486603 3796997 4.139e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\GADW_snapped.tif"
3 1.12769e+07 4486603 3796997 1.60965e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\MALL_snapped.tif"
4 2.63481e+06 4486603 3796997 3.40474e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\NOPI_snapped.tif"
5 6.71633e+06 4486603 3796997 1.89582e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\NSHO_snapped.tif"
6 2.15212e+06 4486603 3796997 2.08442e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\REDH_snapped.tif"
