"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00649 4256726 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00659 4256298 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00669 4255870 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00679 4255442 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00689 4255014 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00699 4254586 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00709 4254158 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00719 4253730 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00729 4253302 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00739 4252874 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00749 4252446 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00759 4252018 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00769 4251590 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00779 4251162 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00789 4250734 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00799 4250306 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00809 4249878 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00819 4249450 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00829 4249022 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00839 4248594 0.0 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999
0.00849 4248166 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00859 4247738 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00869 4247310 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00879 4246882 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00889 4246454 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00899 4246026 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00909 4245598 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00919 4245170 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00929 4244742 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00939 4244314 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00949 4243886 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00959 4243458 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
0.00969 4243030 0.0 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998 0.9998
