"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02096 0.5797 0.6061
0.02106 0.5791 0.6079
0.02116 0.5833 0.6091
0.02126 0.5844 0.6126
0.02136 0.5839 0.6109
0.02146 0.6007 0.6229
0.02155 0.5803 0.6091
0.02165 0.5893 0.6151
0.02175 0.6211 0.6439
0.02185 0.5881 0.6127
0.02195 0.5862 0.6144
0.02205 0.5767 0.6037
0.02215 0.5725 0.5977
0.02225 0.5755 0.6025
0.02235 0.5791 0.6067
0.02245 0.5911 0.6169
0.02255 0.5814 0.6078
0.02265 0.5875 0.6121
0.02275 0.5767 0.6061
0.02285 0.5851 0.6109
0.02295 0.5959 0.6217
0.02304 0.5755 0.6037
0.02314 0.5880 0.6126
0.02324 0.5713 0.5983
0.02334 0.5695 0.5971
0.02344 0.5815 0.6103
0.02354 0.5821 0.6073
0.02364 0.5815 0.6109
0.02374 0.5850 0.6120
0.02384 0.5761 0.6031
0.02394 0.6049 0.6313
0.02404 0.5533 0.5815
0.02414 0.5827 0.6091
0.02424 0.5809 0.6073
0.02434 0.5814 0.6096
0.02444 0.5659 0.5953
0.02453 0.5863 0.6115
0.02463 0.6001 0.6265
0.02473 0.5869 0.6127
0.02483 0.5881 0.6145
0.02493 0.5833 0.6091
0.02503 0.5844 0.6108
0.02513 0.5875 0.6145
0.02523 0.5935 0.6199
0.02533 0.5875 0.6145
0.02543 0.5761 0.6025
0.02553 0.5785 0.6073
0.02563 0.5826 0.6078
0.02573 0.5791 0.6073
0.02583 0.5893 0.6157
0.02593 0.5869 0.6133
0.02602 0.5761 0.6037
0.02612 0.6145 0.6373
0.02622 0.5964 0.6235
0.02632 0.5983 0.6217
0.02642 0.5887 0.6163
0.02652 0.5869 0.6145
0.02662 0.5887 0.6169
0.02672 0.5767 0.6049
0.02682 0.5820 0.6090
0.02692 0.5887 0.6157
0.02702 0.5785 0.6061
0.02712 0.5959 0.6217
0.02722 0.5821 0.6079
0.02732 0.5923 0.6187
0.02742 0.5874 0.6132
0.02751 0.5803 0.6079
0.02761 0.5893 0.6181
0.02771 0.5893 0.6157
0.02781 0.5851 0.6115
0.02791 0.5941 0.6193
0.02801 0.5827 0.6079
0.02811 0.5904 0.6175
0.02821 0.5791 0.6091
0.02831 0.5953 0.6199
0.02841 0.5875 0.6133
0.02851 0.6199 0.6451
0.02861 0.6049 0.6301
0.02871 0.5970 0.6217
0.02881 0.5863 0.6145
0.02891 0.5905 0.6163
0.02900 0.5971 0.6229
0.02910 0.5863 0.6145
0.02920 0.5869 0.6163
0.02930 0.6018 0.6271
0.02940 0.5917 0.6193
0.02950 0.5905 0.6163
0.02960 0.5959 0.6223
0.02970 0.5845 0.6103
0.02980 0.5863 0.6127
0.02990 0.5940 0.6187
0.03000 0.5971 0.6229
0.03010 0.5929 0.6199
0.03020 0.6007 0.6271
0.03030 0.5839 0.6091
0.03040 0.5863 0.6109
0.03049 0.5928 0.6193
0.03059 0.5821 0.6109
0.03069 0.6013 0.6271
0.03079 0.6091 0.6337
0.03089 0.5977 0.6235
0.03099 0.6433 0.6643
0.03109 0.5983 0.6235
0.03119 0.5886 0.6150
0.03129 0.5839 0.6127
0.03139 0.5971 0.6247
0.03149 0.5994 0.6228
0.03159 0.6049 0.6319
0.03169 0.6037 0.6289
0.03179 0.5947 0.6193
0.03189 0.5899 0.6169
0.03198 0.5947 0.6223
0.03208 0.6061 0.6313
0.03218 0.5737 0.6049
0.03228 0.5965 0.6223
0.03238 0.6121 0.6367
0.03248 0.5929 0.6199
0.03258 0.5917 0.6199
0.03268 0.6054 0.6294
0.03278 0.5977 0.6241
0.03288 0.5803 0.6073
0.03298 0.5857 0.6145
0.03308 0.5935 0.6181
0.03318 0.6013 0.6295
0.03328 0.6001 0.6265
0.03338 0.5923 0.6187
0.03347 0.6145 0.6403
0.03357 0.6169 0.6421
0.03367 0.5995 0.6259
0.03377 0.5845 0.6109
0.03387 0.5982 0.6246
0.03397 0.6109 0.6355
0.03407 0.5929 0.6199
0.03417 0.5923 0.6181
0.03427 0.6043 0.6283
0.03437 0.6097 0.6367
0.03447 0.6109 0.6355
0.03457 0.6007 0.6271
0.03467 0.5863 0.6139
0.03477 0.6007 0.6241
0.03487 0.6025 0.6319
0.03496 0.5863 0.6145
0.03506 0.6031 0.6277
0.03516 0.6150 0.6378
0.03526 0.6001 0.6283
0.03536 0.6169 0.6403
0.03546 0.6001 0.6247
0.03556 0.6007 0.6271
0.03566 0.5803 0.6079
0.03576 0.6145 0.6391
0.03586 0.5857 0.6145
0.03596 0.6025 0.6283
0.03606 0.6079 0.6337
0.03616 0.6445 0.6649
0.03626 0.6037 0.6289
0.03636 0.6018 0.6294
0.03645 0.6079 0.6343
0.03655 0.6043 0.6283
0.03665 0.6055 0.6319
0.03675 0.6001 0.6247
0.03685 0.5845 0.6133
0.03695 0.6151 0.6403
0.03705 0.5959 0.6193
0.03715 0.5887 0.6163
0.03725 0.5935 0.6199
0.03735 0.6001 0.6283
0.03745 0.6001 0.6259
0.03755 0.6103 0.6349
0.03765 0.6120 0.6366
0.03775 0.5989 0.6241
0.03785 0.6193 0.6451
0.03794 0.6001 0.6241
0.03804 0.6121 0.6373
0.03814 0.6061 0.6313
0.03824 0.6163 0.6403
0.03834 0.5977 0.6235
0.03844 0.6133 0.6379
0.03854 0.5923 0.6193
0.03864 0.6025 0.6289
0.03874 0.6091 0.6349
0.03884 0.6468 0.6684
0.03894 0.5953 0.6199
0.03904 0.6163 0.6403
