"number" "dsum" "count" "missing" "quant_error" "fname"
0 2.30500e+06 1121653 2303643 3.70058e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\BWTE.tif"
1 210743. 1121653 2303643 3.16377e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\CANV.tif"
2 1.14948e+06 1121653 2303643 5.7646e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\GADW.tif"
3 2.81929e+06 1121653 2303643 3.4115e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\MALL.tif"
4 658715. 1121653 2303643 5.66614e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\NOPI.tif"
5 1.67912e+06 1121653 2303643 4.11025e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\NSHO.tif"
6 538042. 1121653 2303643 2.37205e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Waterfowl_ZonationMSonly\REDH.tif"
